"";"X";"tile";"xrange1";"xrange2";"yrange1";"yrange2";"istruzione";"salute";"trasporti";"qualifica";"servizi"
"1";1;"Tile row 1, col 8";1507662,73970767;1507953,52543697;5041975,71862131;5042087,14078017;0;0;0;1;0
"2";2;"Tile row 1, col 15";1512276,26483516;1512475,59625243;5041975,71862131;5042261,65891782;0;0;0;1;0
"3";3;"Tile row 1, col 16";1512475,59625243;1513093,86168442;5041975,71862131;5042524,17074419;0;0;0,142857142857143;0,666666666666667;0
"4";4;"Tile row 1, col 17";1513093,86168442;1513712,12711641;5041975,71862131;5042526,78494975;0;0;0,0952380952380952;0,333333333333333;0
"5";5;"Tile row 1, col 18";1513712,12711641;1514330,3925484;5041975,71862131;5042528,26073699;0;0;0,0952380952380952;1;0
"6";6;"Tile row 1, col 19";1514330,3925484;1514453,82163846;5041975,71862131;5042281,81382084;0;0;0,0476190476190476;1;0
"7";7;"Tile row 2, col 7";1507271,91427788;1507529,4727594;5041423,17652417;5041824,74549065;0;0;0;1;0
"8";8;"Tile row 2, col 8";1507529,4727594;1507961,10921686;5041423,17652417;5041975,71862131;0;0;0;0,666666666666667;0
"9";9;"Tile row 2, col 15";1512133,27879131;1512475,59625243;5041423,17652417;5041975,71862131;0,333333333333333;0;0,0476190476190476;1;0,0334928229665072
"10";10;"Tile row 2, col 16";1512475,59625243;1513093,86168442;5041423,17652417;5041975,71862131;0,666666666666667;0,411764705882353;0,476190476190476;1;0,263157894736842
"11";11;"Tile row 2, col 17";1513093,86168442;1513712,12711641;5041423,17652417;5041975,71862131;1;0,294117647058824;0,266666666666667;0,666666666666667;0,15311004784689
"12";12;"Tile row 2, col 18";1513712,12711641;1514330,3925484;5041423,17652417;5041975,71862131;0,666666666666667;0,411764705882353;0,238095238095238;1;0,062200956937799
"13";13;"Tile row 2, col 19";1514330,3925484;1514948,65799894;5041423,17652417;5041975,71862131;0;0;0,0476190476190476;1;0
"14";14;"Tile row 2, col 20";1514948,65799894;1515566,92343093;5041423,17652417;5041809,74080055;0;0;0,0476190476190476;1;0,0717703349282297
"15";15;"Tile row 2, col 21";1515566,92343093;1516185,18886292;5041423,17652417;5041860,02080453;0;0;0,142857142857143;1;0,133971291866029
"16";16;"Tile row 2, col 22";1516185,18886292;1516803,45431346;5041423,17652417;5041904,08579411;0;0,411764705882353;0,238095238095238;1;0,0334928229665072
"17";17;"Tile row 2, col 23";1516803,45431346;1517193,1332751;5041423,17652417;5041834,35580244;0;0;0,0476190476190476;0,666666666666667;0
"18";18;"Tile row 3, col 7";1507292,00698959;1507529,4727594;5040870,63440849;5041423,17652417;0;0;0;1;0
"19";19;"Tile row 3, col 8";1507529,4727594;1508147,73819139;5040870,63440849;5041423,17652417;0;0;0,0476190476190476;1;0
"20";20;"Tile row 3, col 9";1508147,73819139;1508766,00364193;5040870,63440849;5041193,79087773;0;0;0;0,666666666666667;0
"21";21;"Tile row 3, col 10";1508766,00364193;1509384,26907392;5040870,63440849;5040944,05090057;0;0;0;1;0
"22";22;"Tile row 3, col 11";1509384,26907392;1510002,53450591;5040870,63440849;5041075,26659249;0;0;0;1;0
"23";23;"Tile row 3, col 12";1510002,53450591;1510620,79995645;5040870,63440849;5041304,89586643;0;0;0;1;0
"24";24;"Tile row 3, col 13";1510620,79995645;1511239,06538844;5040870,63440849;5041222,06086705;0;0;0;1;0
"25";25;"Tile row 3, col 14";1511239,06538844;1511857,33082043;5040870,63440849;5041098,1877202;0;0;0;0,666666666666667;0
"26";26;"Tile row 3, col 15";1511857,33082043;1512475,59625243;5040870,63440849;5041423,17652417;0;0;0,238095238095238;0,333333333333333;0,0287081339712919
"27";27;"Tile row 3, col 16";1512475,59625243;1513093,86168442;5040870,63440849;5041423,17652417;1;0,411764705882353;0,761904761904762;1;0,172248803827751
"28";28;"Tile row 3, col 17";1513093,86168442;1513712,12711641;5040870,63440849;5041423,17652417;0,333333333333333;0,411764705882353;0,380952380952381;1;0,23444976076555
"29";29;"Tile row 3, col 18";1513712,12711641;1514330,3925484;5040870,63440849;5041423,17652417;0;0;0,19047619047619;1;0,0574162679425837
"30";30;"Tile row 3, col 19";1514330,3925484;1514948,65799894;5040870,63440849;5041423,17652417;0;0;0;1;0
"31";31;"Tile row 3, col 20";1514948,65799894;1515566,92343093;5040870,63440849;5041423,17652417;0;0;0,523809523809524;1;0,133971291866029
"32";32;"Tile row 3, col 21";1515566,92343093;1516185,18886292;5040870,63440849;5041423,17652417;0,333333333333333;0;0,0952380952380952;1;0,0334928229665072
"33";33;"Tile row 3, col 22";1516185,18886292;1516803,45431346;5040870,63440849;5041423,17652417;1;0;0,523809523809524;1;0,0813397129186603
"34";34;"Tile row 3, col 23";1516803,45431346;1517421,71974545;5040870,63440849;5041423,17652417;0;0;0,0952380952380952;0,666666666666667;0
"35";35;"Tile row 3, col 24";1517421,71974545;1518039,98519599;5040870,63440849;5041176,28067313;0;0;0,0952380952380952;0,666666666666667;0
"36";36;"Tile row 3, col 25";1518039,98519599;1518234,91720332;5040870,63440849;5041114,95587644;0;0;0;1;0
"37";37;"Tile row 4, col 7";1507265,7992741;1507529,4727594;5040318,09229281;5040870,63440849;0;0;0;1;0
"38";38;"Tile row 4, col 8";1507529,4727594;1508147,73819139;5040318,09229281;5040870,63440849;0;0;0;1;0
"39";39;"Tile row 4, col 9";1508147,73819139;1508766,00364193;5040318,09229281;5040870,63440849;0;0;0;1;0
